id,idea_content,llama33k10,for_user_id,round_id
20001,hat,26,2001,1
20002,sound amplifier,40,2001,1
20003,flowerbed liner,295,2001,1
20004,peg board for painting hardware,600,2001,1
20005,pain canvas,627,2001,1
20006,cat carrier,542,2001,1
20007,gift,28,2002,1
20008,desk,144,2002,1
20009,mailbox,45,2002,1
20010,cage,65,2002,1
20011,container,435,2002,1
20012,pet,224,2002,1
20013,house if large enough,121,2002,1
20014,tear into strip and intertwine to make,635,2002,1
20015,fill with dirt to make a brick or weigh,91,2002,1
20016,doll,17,2002,1
20017,sign,486,2002,1
20018,breakdancing platform,671,2002,1
20019,plant holder,66,2002,1
20020,firewood,124,2002,1
20021,puppy holder,622,2002,1
20022,soapbox derby car,9,2002,1
20023,fruit bowl,570,2002,1
20024,props in a play,74,2002,1
20025,picture frame,123,2002,1
20026,paper,519,2003,1
20027,Storage,32,2003,1
20028,Fort,16,2003,1
20029,Trap,105,2003,1
20030,House,35,2003,1
20031,Car,59,2003,1
20032,Art,389,2003,1
20033,Helmet,287,2003,1
20034,Lift,244,2003,1
20035,Zoo,340,2003,1
20036,Weapon,141,2003,1
20037,Aquarium,520,2003,1
20038,Armor,196,2003,1
20039,Sled,22,2003,1
20040,Pail,48,2003,1
20041,Pads,457,2003,1
20042,Boat,58,2003,1
20043,Shovel,524,2003,1
20044,Stacking,490,2003,1
20045,Shield,14,2003,1
20046,Water Bottle,660,2003,1
20047,Shipping tool,209,2003,1
20048,use several of them and make a robot costume,309,2004,1
20049,get several of them and make a play house,46,2004,1
20050,turn it into an astronauts helmet,349,2004,1
20051,have tiny and turn them into flower pots,239,2004,1
20052,poke holes and stick a light in it and use it as a disco,384,2004,1
20053,use it as a chair,8,2004,1
20054,toy,336,2005,1
20055,hat,26,2005,1
20056,storage,32,2005,1
20057,shade,380,2005,1
20058,umbrella,92,2005,1
20059,shield,14,2005,1
20060,playpen,70,2005,1
20061,table,84,2006,1
20062,shoes,1,2006,1
20063,fort,16,2006,1
20064,props,74,2006,1
20065,stairs,138,2006,1
20066,armor,196,2006,1
20067,Raft,214,2006,1
20068,dumb waiter,49,2006,1
20069,umbrella,92,2006,1
20070,giant dice,15,2006,1
20071,hat,26,2007,1
20072,home if it is big enough,121,2007,1
20073,drawer,211,2007,1
20074,seat,27,2007,1
20075,shelf,21,2007,1
20076,to block,425,2007,1
20077,costume,30,2007,1
20078,tunnel,328,2007,1
20079,foot stool,451,2007,1
20080,go cart,260,2007,1
20081,side table,20,2007,1
20082,play toy,456,2007,1
20083,bird house,342,2007,1
20084,dog house,106,2007,1
20085,burning material,689,2007,1
20086,garbage can,137,2007,1
20087,toss like a ball,116,2008,1
20088,hat,26,2008,1
20089,drum,42,2008,1
20090,seat,27,2008,1
20091,diorama,523,2008,1
20092,music amplifier,40,2008,1
20093,balance beam,212,2008,1
20094,stepping stool,104,2008,1
20095,TV stand,320,2008,1
20096,cut up and use as a dancefloor,508,2008,1
20097,Table,84,2010,1
20098,Bed,4,2010,1
20099,House,35,2010,1
20100,Vehicle,623,2010,1
20101,Pillow,127,2010,1
20102,Chair,8,2010,1
20103,Stage,315,2010,1
20104,Step,337,2010,1
20105,Arm Rest,382,2010,1
20106,hat,26,2011,1
20107,instrument,179,2011,1
20108,weapon,141,2011,1
20109,Building Material,395,2011,1
20110,as a weight,473,2012,1
20111,shelter,7,2012,1
20112,to climb on,656,2012,1
20113,as a floor rug,53,2012,1
20114,bulletproof material,196,2012,1
20115,make a plane out of,590,2012,1
20116,a ramp to use for tricks/stunts,441,2012,1
20117,As a mini fridge stand  a ladder  shelter,402,2012,1
20118,make a car out of,221,2012,1
20119,to cut and from other objects from,599,2012,1
20120,flower pot,311,2013,1
20121,build a mansion,696,2013,1
20122,build a raft,705,2013,1
20123,table,84,2014,1
20124,seat,27,2014,1
