id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3
10001,1,1,brick,necklace,2,1,2
10002,1,1,brick,shoes,1,1,2
10003,1,1,brick,car,2,1,1
10004,1,1,brick,hat,1,1,2
10005,1,1,brick,plate,2,2,2
10006,1,1,brick,coat,2,2,1
10007,1,1,brick,table,1,1,1
10008,1,1,brick,bed,1,1,2
10009,1,1,brick,ball,1,1,2
10010,1,1,brick,carpet,1,2,2
10011,1,1,brick,sofa,1,1,1
10012,1,1,brick,court,1,1,1
10013,1,1,brick,ring,2,1,2
10014,2,1,brick,putting a under a leg of a table to make it level out evenly,2,1,2
10015,2,1,brick,using to contain a fire by building a little wall around the fire,1,1,2
10016,2,1,brick,using a as a hammer,1,1,1
10017,2,1,brick,using a as a writing surface,1,2,2
10018,3,1,brick,weight for a pully system,1,1,2
10019,3,1,brick,hammer,1,1,1
10020,3,1,brick,kill a bug,1,1,1
10021,3,1,brick,cut and hollow and make a box that can be hidden in the wall under the disguise of a regular,3,1,5
10022,3,1,brick,to break a window,1,1,1
10023,3,1,brick,uses pieces to create a work of art,1,1,2
10024,3,1,brick,ammunition for a big sling shot,1,1,3
10025,3,1,brick,add wheels and other items to make it into a car,2,2,2
10026,3,1,brick,put it in a wall next to a door that is locked...you open the face of the and it reveals a keypad in the...you put in the pass code and the door will open...it is a hidden security measure,2,2,5
10027,3,1,brick,prop it against the gas pedal of a car so the car will go without anyone inside,1,1,2
10028,4,1,brick,using the as a flower holder,4,2,3
10029,4,1,brick,using it as a weapon,1,1,2
10030,4,1,brick,paint on the to make an art work,1,1,2
10031,4,1,brick,use the  as a sharp tool to cut leaves,2,1,3
10032,4,1,brick,imaginatively  use the holes of the as a peeping hole for childhood play roles.,2,2,5
10033,4,1,brick,place items in between the holes to create holders.,3,1,3
10034,4,1,brick,break the into small pieces and use it in art works,2,1,3
10035,4,1,brick,use a as something to weigh down objects.,1,1,1
10036,4,1,brick,put two sticks through the with 4 wheels to create a car.,3,3,3
10037,4,1,brick,use the to scrape along sidewalks to create images or designs or art work,3,1,3
10038,4,1,brick,put the on a sheet of paper; spray painting to create lines and art,1,2,3
10039,4,1,brick,use the as a subject in art work  so you can study the shape and different shadows that it can present,1,1,3
10040,4,1,brick,tie strings to the and hang it off a tree  to give it an illusional effect of floating in the air from afar.,2,2,4
10041,5,1,brick,You can use a to lift weights,1,1,2
10042,5,1,brick,You can use a in a throwing contest to see who is the strongest,1,1,2
10043,5,1,brick,"You can use a to make a (brickman) ""snowman""",3,3,4
10044,5,1,brick,You can use a for a scare tactic,1,1,3
10045,5,1,brick,You can use a to assist in research,1,1,2
10046,5,1,brick,You can use pieces of a to make tattoo,2,3,4
10047,6,1,brick,a stepping stool,1,1,2
10048,6,1,brick,something to draw on,1,1,2
10049,6,1,brick,put together to build something,1,1,1
10050,6,1,brick,take a and toss it back and forth,1,1,2
10051,6,1,brick,make a pet,1,1,2
10052,6,1,brick,have a throwing competition,1,1,2
10053,6,1,brick,cut a into pieces and make a mosaic,3,1,5
10054,6,1,brick,use the holes in the as a planting bowl,4,2,3
10055,6,1,brick,use the to build a fort,1,1,1
10056,6,1,brick,use a for the stand of a firework display (they're fire repellant I think),2,1,3
10057,6,1,brick,use the as a weapon when in danger,1,1,2
10058,6,1,brick,paint the and use them as decorations,1,1,2
