id,idea_content,llama33k10,for_user_id,round_id
10001,necklace,638,1,1
10002,shoes,160,1,1
10003,car,290,1,1
10004,hat,428,1,1
10005,plate,138,1,1
10006,coat,844,1,1
10007,table,28,1,1
10008,bed,360,1,1
10009,ball,102,1,1
10010,carpet,236,1,1
10011,sofa,741,1,1
10012,court,839,1,1
10013,ring,321,1,1
10014,putting a under a leg of a table to make it level out evenly,27,2,1
10015,using to contain a fire by building a little wall around the fire,21,2,1
10016,using a as a hammer,75,2,1
10017,using a as a writing surface,875,2,1
10018,weight for a pully system,453,3,1
10019,hammer,75,3,1
10020,kill a bug,93,3,1
10021,cut and hollow and make a box that can be hidden in the wall under the disguise of a regular,846,3,1
10022,to break a window,104,3,1
10023,uses pieces to create a work of art,341,3,1
10024,ammunition for a big sling shot,278,3,1
10025,add wheels and other items to make it into a car,705,3,1
10026,put it in a wall next to a door that is locked...you open the face of the and it reveals a keypad in the...you put in the pass code and the door will open...it is a hidden security measure,928,3,1
10027,prop it against the gas pedal of a car so the car will go without anyone inside,887,3,1
10028,using the as a flower holder,849,4,1
10029,using it as a weapon,210,4,1
10030,paint on the to make an art work,7,4,1
10031,use the  as a sharp tool to cut leaves,190,4,1
10032,imaginatively  use the holes of the as a peeping hole for childhood play roles.,836,4,1
10033,place items in between the holes to create holders.,474,4,1
10034,break the into small pieces and use it in art works,618,4,1
10035,use a as something to weigh down objects.,68,4,1
10036,put two sticks through the with 4 wheels to create a car.,705,4,1
10037,use the to scrape along sidewalks to create images or designs or art work,765,4,1
10038,put the on a sheet of paper; spray painting to create lines and art,410,4,1
10039,use the as a subject in art work  so you can study the shape and different shadows that it can present,286,4,1
10040,tie strings to the and hang it off a tree  to give it an illusional effect of floating in the air from afar.,809,4,1
10041,You can use a to lift weights,42,5,1
10042,You can use a in a throwing contest to see who is the strongest,239,5,1
10043,"You can use a to make a (brickman) ""snowman""",426,5,1
10044,You can use a for a scare tactic,1,5,1
10045,You can use a to assist in research,82,5,1
10046,You can use pieces of a to make tattoo,606,5,1
10047,a stepping stool,65,6,1
10048,something to draw on,405,6,1
10049,put together to build something,19,6,1
10050,take a and toss it back and forth,479,6,1
10051,make a pet,384,6,1
10052,have a throwing competition,685,6,1
10053,cut a into pieces and make a mosaic,341,6,1
10054,use the holes in the as a planting bowl,361,6,1
10055,use the to build a fort,259,6,1
10056,use a for the stand of a firework display (they're fire repellant I think),182,6,1
10057,use the as a weapon when in danger,203,6,1
10058,paint the and use them as decorations,39,6,1
10059,use them as weights when you are working out,68,6,1
10060,"use it for a tic tac toe board  using rocks and sticks are x""s and o""s",643,6,1
10061,draw on it with chalk like it was a chalk board,405,6,1
10062,list more creative ideas of how to use a then I am on this computer,881,6,1
10063,Paperweight,10,7,1
10064,carve it into sculpture,5,7,1
10065,hollow it out ad use for a container,661,7,1
10066,nail file,273,7,1
10067,building a house,15,7,1
10068,weight for weight lifting,3,7,1
10069,as a shoe cleaner  to scrape the bottom of your shoes on,759,7,1
10070,as a stone  to help build a makeshift dam,556,7,1
10071,as a weight  to make something sink in water.,24,7,1
10072,like a piece of charcoal  for drawing with,162,7,1
10073,grind it into dust  mix with water  and use as paint,535,7,1
10074,Hammer,75,8,1
10075,weapon,203,8,1
10076,door stopper,124,8,1
10077,stepping stone,66,8,1
10078,nail filer,273,8,1
10079,foot rest,131,8,1
10080,weight lifting,42,8,1
10081,You can use a as a weight.,68,9,1
10082,You can measure how big someone's head is using as units.,279,9,1
10083,can be used as toys.,90,9,1
10084,You can use for playing football.,667,9,1
10085,You can play catch with.,30,9,1
10086,can be used as burgers while playing outside.,859,9,1
10087,can be used as door stoppers and also to stop glass from being solid.,796,9,1
10088,You miss out on things when you have been living under a rock  but if you have been living under a you probably got knocked out.,403,9,1
10089,You can use to carve sayings into a wall.,158,9,1
10090,You can use to make door knobs but it will be probably uncomfortable to turn.,4,9,1
10091,You can play how many fingers can you break with a.,736,9,1
10092,You can use for clothes they will just be heavy.,127,9,1
10093,"You can use to make a Lifesize ""Thing"" action figure from Fantastic  Four.",350,9,1
10094,house,132,10,1
10095,building,19,10,1
10096,decoration,18,10,1
10097,car,290,10,1
10098,table,28,10,1
10099,bookshelf,558,10,1
10100,computer,401,10,1
10101,phone,704,10,1
10102,bowl,431,10,1
10103,dish,386,10,1
10104,chair,202,10,1
10105,bridge,311,10,1
10106,floor,107,10,1
10107,lamp,745,10,1
10108,vase,265,10,1
10109,shoe,160,10,1
10110,pillow,184,10,1
10111,toy,153,10,1
10112,weapon,203,10,1
10113,notebook,911,10,1
10114,journal,817,10,1
10115,purse,485,10,1
10116,bookend,183,10,1
10117,pencil case,79,10,1
10118,coin holder,79,10,1
10119,pet,234,10,1
10120,Door stop,484,11,1
10121,Hammer,75,11,1
10122,Pet,234,11,1
10123,Swatter,897,11,1
10124,Paper weight,10,11,1
10125,Carve out the inside and use it for storage.,661,11,1
10126,break into small  tine  sand-like pieces and use for a Zen garden or as such.,418,11,1
10127,Break into shards too see all the different shapes you could make,422,11,1
10128,Take pieces of it to use for a game of jacks,824,11,1
10129,break into pieces to make a puzzle,838,11,1
10130,Trophy,591,11,1
10131,Canvas,80,11,1
10132,iPhone dock,860,11,1
10133,calculator,900,11,1
10134,paper weight,10,12,1
10135,nail file,273,12,1
10136,companion (like a teddy bear),166,12,1
10137,weight (to exercise),3,12,1
10138,anchor,40,12,1
10139,earrings,420,12,1
10140,exfoliant (scrub dead skin cells),448,12,1
10141,kite holder (keeps the kite from flying away),907,12,1
10142,ankle weight,658,12,1
10143,weapon,203,12,1
10144,a baby doll,480,13,1
10145,throw it around like a ball,479,13,1
10146,dress it up as someone,795,13,1
10147,paint it,176,13,1
10148,draw it,562,13,1
10149,name it and keep it forever  like it was your own,363,13,1
10150,use the as a step stool,65,13,1
10151,practice your balance on it  one foot on it at a time,256,13,1
10152,use it as a weapon,210,13,1
10153,use it as a self defense measure,209,13,1
10154,use it after putting books on a shelf to keep the books from falling over,183,13,1
10155,use it as a window proper opener,313,13,1
10156,use it behind a tire  if parked on a hill,96,13,1
10157,make into art piece,170,13,1
10158,a paper weight,10,13,1
10159,a door stopper,124,13,1
10160,use it as a weight,68,13,1
10161,Anchor,40,14,1
10162,door stop,124,14,1
10163,pencil/pen holder,79,14,1
10164,art,314,14,1
10165,have a throwing contest,163,14,1
10166,use it as a hammer to hit something down,75,14,1
10167,paint with it,719,14,1
10168,as a child,376,14,1
10169,use it to smash up foods. flatten meat  crack nuts...,47,14,1
10170,for military personnel to drop out of planes at enemies,276,14,1
10171,send messages on to friends.,50,14,1
10172,defensive weapon,203,15,1
10173,patio,385,15,1
10174,weight for building muscles,3,15,1
10175,basis of a house foundation,378,15,1
10176,seat made of,332,15,1
10177,step latter,913,15,1
10178,use as markers instead of cones,771,15,1
10179,stoppers  such as for a door,484,15,1
10180,throw the  furthest game,163,15,1
10181,"hot """" instead of potato",766,15,1
10182,steps,56,15,1
10183,as a barrier,229,15,1
10184,fence,159,15,1
10185,pet,234,15,1
10186,fort,33,15,1
10187,fireplace,91,15,1
10188,ties to bottoms of feet as high shoes,277,15,1
10189,meat pounder,47,15,1
10190,mashed potato smasher,344,15,1
10191,table,28,15,1
10192,statue,36,15,1
10193,gravestone,121,15,1
10194,back scratcher,165,15,1
10195,anchor,40,15,1
10196,build a house,15,16,1
10197,break a chain,427,16,1
10198,balance a table or chair,27,16,1
10199,hold open a window,915,16,1
10200,To hold something down,63,16,1
10201,lift for exercise,42,16,1
10202,break a window,104,16,1
10203,build a wall or boundary,61,16,1
10204,to teach someone the rectangle shape,108,16,1
10205,to smash things,17,16,1
10206,make a sidewalk,64,16,1
10207,build a house,15,17,1
10208,hit someone with,188,17,1
10209,use it to brake something,17,17,1
10210,use it as heat absorption,666,17,1
10211,use it to elevate things,274,17,1
10212,kick a into a soccer goal,445,17,1
10213,carve something into the,158,17,1
10214,use a as a lever,240,17,1
10215,balance a on your head,267,17,1
10216,color a,594,17,1
10217,crush a,362,17,1
10218,smell a,549,17,1
10219,use a as a tool to crush something,17,17,1
10220,stacks,283,17,1
10221,color coordinates,206,17,1
10222,reshape a with power tools,284,17,1
10223,make a out of clay,81,17,1
10224,make a bridge out of,632,17,1
10225,taste a,787,17,1
10226,put a in a cannon and shoot something with it,84,17,1
10227,send a to the moon,613,17,1
10228,use a to sit on,69,17,1
10229,balance a on your head,267,17,1
10230,freeze a,725,17,1
10231,store a somewhere safe,578,17,1
10232,burn a,768,17,1
10233,push a,737,17,1
10234,cut something with a,901,17,1
10235,watch a dry,193,17,1
10236,use a to way down something,425,17,1
10237,use a to hunt with,288,17,1
10238,way down something with,837,17,1
